complex,simple,source
"Die Leichte Sprache nimmt den Inhalt ernst, aber nicht schwer. Das kann erhellend sein. Hier die Übersetzung einiger Auszüge aus den „Fragen und Antworten zur befristeten Senkung der Umsatzsteuer“ auf der Homepage des Bundesfinanzministeriums vom 25. Juni 2020.",Die Leute sollen mehr kaufen.,https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/pause/die-leute-sollen-denken-ich-muss-jetzt-schnell-was-kaufen
"Die Bundesregierung hat den Entwurf eines Zweiten Gesetzes zur Umsetzung steuerlicher Hilfsmaßnahmen zur Bewältigung der Corona-Krise vorgelegt. Dieser sieht u. a. vor, vom 1. Juli 2020 bis zum 31. Dezember 2020 sowohl den regulären Umsatzsteuersatz von 19 auf 16 Prozent als auch den ermäßigten Umsatzsteuersatz von 7 auf 5 Prozent zu senken. (…)","Die Regierung von Deutschland will ein Gesetz ändern.
Das Gesetz soll den Leuten in der Corona-Krise helfen.
Zum Beispiel macht das Gesetz die Umsatz·Steuer kleiner.
Diese Steuer muss man zahlen wenn man etwas kauft.
Bis zum Ende vom Jahr soll die Steuer klein bleiben.
Eigentlich muss man 19 Prozent Umsatz·Steuer zahlen.
Jetzt soll man nur noch 16 Prozent zahlen.
Für manche Sachen muss man eigentlich 7 Prozent zahlen.
Für diese Sachen soll man nur noch 5 Prozent zahlen.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/pause/die-leute-sollen-denken-ich-muss-jetzt-schnell-was-kaufen
"Die Befristung auf ein halbes Jahr ist nötig, um jetzt schnelle Kaufanreize zu setzen, denn das Ziel ist schließlich, einen konjunkturellen Impuls zu erreichen. Mit Inkrafttreten der schrittweisen Lockerungen ist der Zeitpunkt für diesen kräftigen Nachfrageimpuls nun klug gewählt. Neben den Bürgerinnen und Bürgern wird damit auch Unternehmen aller Branchen geholfen, von der Gastronomie bis zur Automobilwirtschaft, da sie von zusätzlichen Einkäufen profitieren. Im zweiten Halbjahr 2020 wird diese Steuersenkung insbesondere auch für große Anschaffungen einen zusätzlichen Kaufanreiz setzen. Die konjunkturelle Wirkung wird durch Vorzieheffekte beim Konsum verstärkt, für die eine Befristung nötig ist. Für 2021 rechnet die Bundesregierung mit einer einsetzenden Belebung der Wirtschaft, die den Schwung des Konjunkturpaketes weitertragen wird.","Die Steuer wird nur für ein halbes Jahr kleiner.
Warum? Damit die Leute schnell etwas kaufen.
Wegen dem Corona-Virus gab es viele Verbote.
Diese Verbote werden jetzt gelockert.
Die Regierung sagt:
– Jetzt ist der richtige Moment für die kleinere Steuer.
– Den Moment haben wir klug gewählt.
Die kleinere Steuer hilft den Leuten und der Wirtschaft.
Vom Restaurant·Besitzer bis zur Auto·Firma.
Die Leute sollen denken: Jetzt kaufe ich was richtig Teures!
Die Steuer ist aber nur ein halbes Jahr kleiner.
Die Leute sollen denken: Ich muss jetzt schnell was kaufen!
Sonst lassen sich die Leute ewig Zeit mit dem Kaufen.
Das hilft der Wirtschaft nicht.
Die Regierung glaubt: Nächstes Jahr wird alles besser.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/pause/die-leute-sollen-denken-ich-muss-jetzt-schnell-was-kaufen
"Die Leichte Sprache nimmt den Inhalt ernst, aber nicht schwer. Das kann erhellend sein. Hier die Übersetzung einiger Auszüge aus den Werbetexten für das Temial Starter-Set für 599 Euro auf der Homepage von Vorwerk vom 31. Mai 2020.",Die echte Tee-Revolution? Gibt’s bei uns. (…),https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unternehmertum/eine-maschine-zum-kochen-von-tee
Wir haben etwas ganz Neues zum Kochen von Tee erfunden.,Der Teevollautomat von Temial bereichert deinen Alltag um ein völlig neues Tee-Erlebnis! Frei von Beuteln oder Kapseln entfalten sich in der Aufgusskammer die losen Teeblätter und entwickeln so ihren vollen Geschmack. Mit den Bio-Tees aus dem Temial-Sortiment gelingt die optimale Zubereitung dank der Voreinstellungen im Temial-Code garantiert. Aber auch jeden anderen losen Tee bereitet der Teevollautomat bequem gemäß deinen Einstellungen (…),https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unternehmertum/eine-maschine-zum-kochen-von-tee
 ,"Wir haben eine Maschine gebaut.
Die Maschine kann Tee kochen.
Du brauchst keinen Beutel und keine Kapsel für deinen Tee.
Du legst die Blätter vom Tee einfach in die Maschine.
Wir verkaufen auch Tee für die Maschine.
Damit wird der Tee mit der Maschine am besten.
Es geht aber auch mit anderem Tee.
Die Maschine kocht den Tee wie du es willst.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unternehmertum/eine-maschine-zum-kochen-von-tee
"Von wegen Teebeutel oder Kapselmaschine! In der Temial-Aufgusskammer tanzt der lose Tee, und die Blätter entfalten ihren vollen Geschmack – für feines Aroma und einzigartigen Genuss. (…)","Du brauchst keinen Beutel für den Tee.
Und du brauchst auch keine Kapsel für den Tee.
Die Blätter vom Tee kommen einfach in die Maschine.
Da werden sie dann gekocht.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unternehmertum/eine-maschine-zum-kochen-von-tee
Losen Tee einfüllen und Zubereitung starten. So wird die perfekte Teezubereitung ganz leicht. (…),"Du musst nur den Tee in die Maschine legen.
Dann musst du die Maschine starten.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unternehmertum/eine-maschine-zum-kochen-von-tee
"Wenn in der Aufgusskammer die Teeblätter tanzen und dabei ihr feines Aroma entfalten, ist die Vorfreude auf den perfekten Geschmack vorprogrammiert. (…) Eine Inspiration für die ganze Familie! (…)","Die Blätter vom Tee liegen in der Maschine.
Beim Kochen wirbeln die Blätter herum.
Dann nimmt das Wasser den Geschmack der Blätter an.
Darüber freut sich die ganze Familie.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unternehmertum/eine-maschine-zum-kochen-von-tee
Jeder Temial-Tee kann am Gerät gescannt werden und schlägt automatisch die perfekte Zubereitung vor. Für individuellen Genuss kannst du persönliche Zubereitungsvorlieben in der Temial-App hinterlegen – übrigens auch für Tees außerhalb des Temial-Sortiments. (…),"Unser Tee hat ein Zeichen auf der Verpackung.
Das Zeichen kannst du an die Maschine halten.
Dann weiß die Maschine was für ein Tee das ist.
Dann kann die Maschine den Tee am besten kochen.
Du kannst aber auch deine eigenen Wünsche speichern.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unternehmertum/eine-maschine-zum-kochen-von-tee
Dank Programmierfunktion der Temial-App ist ab sofort jeden Morgen der perfekte Tee schon fertig zum Genuss. Und dank der integrierten Fernsteuerung lassen sich Mehrfachaufgüsse bequem von der Couch aus starten.,"Du kannst der Maschine auch sagen:
Koch mir morgen früh Tee!
Und es gibt auch eine Fern·Bedienung.
Damit kannst du die Maschine vom Sofa aus starten.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unternehmertum/eine-maschine-zum-kochen-von-tee
"Die Leichte Sprache nimmt den Inhalt ernst, aber nicht schwer. Das kann erhellend sein. Hier die Übersetzung einiger Auszüge aus einer Pressemitteilung zur Umfirmierung von „Dojo Madness“ vom 31. Januar 2020.","Sehr geehrte Damen und Herren,",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neu-sortieren/mit-uns-koennen-mehr-leute-geld-verdienen
Hallo., ,https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neu-sortieren/mit-uns-koennen-mehr-leute-geld-verdienen
"DOJO Madness hat heute bekannt gegeben, seine Marktstrategie komplett auf Firmenkunden auszurichten. Mit dem Fokus auf B2B geht eine Änderung des Unternehmensnamens einher: DOJO Madness heißt zukünftig Bayes Holding.","Dojo Madness ist der Name von einer Firma.
Früher hat die Firma auch für einzelne Menschen gearbeitet.
Jetzt will die Firma nur noch für andere Firmen arbeiten.
Deswegen kriegt die Firma einen neuen Namen.
Die Firma heißt jetzt Bayes Holding.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neu-sortieren/mit-uns-koennen-mehr-leute-geld-verdienen
"Die Substanz der Unternehmensaktivitäten bilden Shadow (…) und das 2019 gemeinsam mit Sportradar gegründete Joint Venture Bayes Esports Solutions. Dass der Name Bayes nun sowohl die Tochter als auch die Mutter schmückt, zeigt, wo Gründer und Geschäftsführer Jens Hilgers das größte Wachstumspotenzial für die Bayes Holding sieht: im B2B-Geschäft. „Mit unseren beiden Geschäftssparten konnten wir führende Positionen auf dem globalen Markt für Esports-Daten und -Analysen aufbauen. Beide Bereiche werden zukünftig unseren vollen Fokus bekommen – insbesondere auch, um Synergien zu maximieren.“","Die Firma hat zwei Teile.
Der erste Teil heißt Shadow.
Der zweite Teil heißt Bayes Esports Solutions.
Warum heißt der zweite Teil so ähnlich wie die Firma jetzt?
– Weil der Gründer nur noch für andere Firmen arbeiten will.
– Weil er seine Firma so größer machen will.
Die Firma sammelt Zahlen zum Thema „E-Sport“.
Dafür ist sie auf der ganzen Welt bekannt.
E-Sport heißt eigentlich Computer·Spielen.
Manche Leute nehmen Computer·Spielen sehr ernst.
Sie machen Wett·Kämpfe und dann heißt das E-Sport.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neu-sortieren/mit-uns-koennen-mehr-leute-geld-verdienen
"Mit der Fokussierung (…) auf das B2B-Geschäft wird deutlich, welches enorme Potenzial zuverlässige und akkurate Esports-Daten für die Industrie haben. Martin Dachselt, Geschäftsführer von Bayes Esports Solutions, sieht ein grund- legendes Problem der Industrie darin, dass professionelle Esports-Daten aktuell nicht für alle Games und Spiele verfügbar sind. Das war einer der Gründe (…) BEDEX zu entwickeln, den weltweit ersten unabhängigen Esports-Daten-Marktplatz für in-game-Daten. „Ich bin überzeugt, dass wir mit unserer Lösung einige der fundamentalen Probleme des Esports lösen können. Unsere neutrale Plattform bietet auch kleineren Turnier-Organisatoren die Möglichkeit, ihre Esports-Daten zu distribuieren und monetarisieren.“","Die Firma will mehr für andere Firmen arbeiten.
Und nicht mehr für einzelne Menschen.
Der neue Name von der Firma ist ein Hinweis:
– Gute Zahlen zu Computer·Spielen werden viel Geld bringen.
Ein anderer Chef von der Firma sagt:
– Es gibt heute nicht zu jedem Computer·Spiel Zahlen.
– Das ist ein Problem für den E-Sport.
Deswegen hat die Firma das Produkt „Bedex“ gemacht.
Bedex ist so etwas wie ein Markt·Platz im Internet.
Auf diesem Markt·Platz gibt es Zahlen aus Computer·Spielen.
Der andere Chef sagt:
– Damit können wir große Probleme für den E-Sport lösen.
– Mit uns können mehr Leute Geld verdienen.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neu-sortieren/mit-uns-koennen-mehr-leute-geld-verdienen
"Die Leichte Sprache nimmt den Inhalt ernst, aber nicht schwer. Das kann erhellend sein. Hier die Übersetzung einiger Passagen aus den Europäischen Strafvollzugsgrundsätzen auf Empfehlung des Europarates im Jahr 2006.","1. Alle Personen, denen die Freiheit entzogen ist, sind unter Achtung ihrer Menschenrechte zu behandeln. (…)",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unterhaltung/ins-gefaengnis-kommt-man-nicht-einfach-so
"3. Einschränkungen, die Personen auferlegt werden, denen die Freiheit entzogen ist, müssen sich auf das Mindestmaß beschränken und in Bezug auf den rechtmäßigen Zweck, zu dem sie verhängt werden, verhältnismäßig sein. (…)","Alle Gefangenen sollen gut behandelt werden. Sie haben die gleichen Rechte wie alle Menschen.

Aber manche Rechte sind eingeschränkt.
Zum Beispiel dürfen die Gefangenen nicht frei rum·laufen.
Aber diese Einschränkungen sollen so klein wie möglich sein.Sie sollen nur zur Bestrafung dienen. Nicht mehr. ",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unterhaltung/ins-gefaengnis-kommt-man-nicht-einfach-so
5. Das Leben in der Justizvollzugsanstalt ist den positiven Aspekten des Lebens in der Gesellschaft so weit wie möglich anzugleichen.,"Das Leben im Gefängnis soll am besten so sein wie draußen.
Aber das geht nicht.
Also soll das Leben wenigstens so ähnlich wie draußen sein.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unterhaltung/ins-gefaengnis-kommt-man-nicht-einfach-so
"6. Jede Freiheitsentziehung ist so durchzuführen, dass sie den betroffenen Personen die Wiedereingliederung in die Gesellschaft erleichtert. (…)

Die Zeit im Gefängnis ist irgendwann vorbei.
Dann leben die ehemaligen Gefangenen wieder ganz normal.
Dabei soll die Zeit im Gefängnis helfen.",14. Niemand darf ohne einen nach innerstaatlichem Recht gültigen Haftbefehl (…) als Gefangene/r in eine Anstalt aufgenommen oder dort festgehalten werden. (…),https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unterhaltung/ins-gefaengnis-kommt-man-nicht-einfach-so
"Ins Gefängnis kommt man nicht einfach so.
Man muss von einem Gericht verurteilt werden.
Erst dann kann man ins Gefängnis kommen.","18.2 In allen Gebäuden, (…) a) müssen die Fenster groß genug sein, damit die Gefangenen (…) bei Tageslicht lesen und arbeiten können und Frischluft einströmen kann, es sei denn, eine entsprechende Klimaanlage ist vorhanden; b) muss das künstliche Licht den anerkannten technischen Normen entsprechen; (…)",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unterhaltung/ins-gefaengnis-kommt-man-nicht-einfach-so
"Wie müssen die Räume für die Gefangenen aussehen?
Die Gefangenen brauchen große Fenster.
Damit sie lesen und gut atmen können.
Außer es gibt eine Klima·anlage.
Für die Nacht gibt es Lampen.
Die Lampen müssen geprüft sein.","18.5 In der Regel sind Gefangene bei Nacht in Einzelhaft-räumen unterzubringen, es sei denn, die gemeinschaftliche Unterbringung mit anderen Gefangenen wird für sinnvoller gehalten. (…)",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unterhaltung/ins-gefaengnis-kommt-man-nicht-einfach-so
"Eigentlich sollen die Gefangenen nachts allein schlafen.
Aber manchmal schlafen die Gefangenen auch zusammen.Wann schlafen die Gefangenen zusammen?
Wenn es sinnvoll ist.","19.4 Es sind angemessene Einrichtungen vorzusehen, damit alle Gefangenen (…) möglichst täglich, mindestens jedoch zweimal wöchentlich (…) im Interesse der allgemeinen Hygiene baden oder duschen können. (…)

Im Gefängnis muss es Duschen oder Bade·wannen geben.
Am besten sollen die Gefangenen jeden Tag duschen können.Aber zweimal in der Woche ist auch in Ordnung.
Das ist wichtig für den Geruch und für die Gesundheit.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unterhaltung/ins-gefaengnis-kommt-man-nicht-einfach-so
22.2 Die Anforderungen an eine nährstoffreiche Nahrung einschließlich ihres Mindestgehalts an Energie und Eiweiß sind im innerstaatlichen Recht festzulegen. (…),"Die Gefangenen müssen genug Essen kriegen.
Aber wie viel Essen ist genug?
Das darf jedes Land selber entscheiden.

26.1 Gefangenenarbeit ist als ein positiver Bestandteil des Strafvollzugs zu betrachten und darf nie zur Bestrafung eingesetzt werden. (…)",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unterhaltung/ins-gefaengnis-kommt-man-nicht-einfach-so
"Manchmal arbeiten die Gefangenen im Gefängnis.
Die Arbeit ist etwas Gutes.
Die Arbeit soll keine Strafe sein.","33.1 Gefangene sind unverzüglich zu entlassen, wenn die Strafzeit abgelaufen oder der Haftbefehl aufgehoben ist oder wenn ein Gericht (…) ihre Entlassung anordnet.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/unterhaltung/ins-gefaengnis-kommt-man-nicht-einfach-so
